episode,actions,rewards
0,2,-199.0
1,4,3.0
2,2,-299.0
3,8,-195.0
4,2,-300.0
5,6,-97.0
6,4,-399.0
7,4,-299.0
8,2,-400.0
9,2,-300.0
10,4,-298.0
11,4,-197.0
12,2,-99.0
13,4,-498.0
14,6,-296.0
15,2,-299.0
16,2,-99.0
17,2,-300.0
18,4,-97.0
19,2,-99.0
20,4,-297.0
21,8,-597.0
22,2,-199.0
23,8,-296.0
24,2,-300.0
25,6,-196.0
26,4,-198.0
27,6,-196.0
28,2,-199.0
29,8,-94.0
30,2,-300.0
31,4,-599.0
32,2,-99.0
33,2,-300.0
34,4,-97.0
35,4,-98.0
36,2,-500.0
37,2,-300.0
38,2,-400.0
39,4,-97.0
40,2,-299.0
41,2,-300.0
42,2,-500.0
43,186,-1231.8939359505173
44,6,-398.0
45,6,-298.0
46,2,-199.0
47,4,-298.0
48,2,-300.0
49,2,-299.0
50,2,-300.0
51,2,-199.0
52,2,-199.0
53,4,-499.0
54,30,529.3064272308656
55,8,6.0
56,2,-299.0
57,6,-295.0
58,4,-98.0
59,4,-97.0
60,2,-300.0
61,2,-299.0
62,2,-299.0
63,4,-197.0
64,10,108.0
65,2,-199.0
66,2,-99.0
67,4,-97.0
68,4,-98.0
69,2,-300.0
70,2,-300.0
71,8,-93.0
72,2,-300.0
73,2,-300.0
74,2,-199.0
75,2,-500.0
76,6,-196.0
77,2,-400.0
78,2,-99.0
79,4,-197.0
80,4,-98.0
81,4,-399.0
82,4,-498.0
83,2,-199.0
84,6,-398.0
85,4,-197.0
86,6,-196.0
87,2,-500.0
88,2,-299.0
89,2,-400.0
90,18,-287.0
91,14,212.0
92,2,-300.0
93,2,-99.0
94,2,-99.0
95,6,-498.0
96,6,-296.0
97,4,-297.0
98,4,-297.0
99,2,-99.0
100,2,-99.0
101,2,-199.0
102,2,-300.0
103,2,-300.0
104,42,-848.9266434325183
105,8,-396.0
106,6,-397.0
107,4,-299.0
108,2,-400.0
109,2,-300.0
110,92,80.30660208604013
111,2,-300.0
112,12,-393.0
113,2,-400.0
114,4,-298.0
115,4,3.0
116,2,-300.0
117,2,-99.0
118,8,107.0
119,4,-299.0
120,6,-97.0
121,8,-295.0
122,2,-300.0
123,2,-300.0
124,2,-99.0
125,2,-199.0
126,6,-296.0
127,4,-97.0
128,2,-299.0
129,10,-192.0
130,4,-198.0
131,2,-199.0
132,4,103.0
133,2,-400.0
134,4,-98.0
135,6,-397.0
136,2,-500.0
137,2,-400.0
138,6,-196.0
139,2,-299.0
140,2,-299.0
141,4,-98.0
142,10,309.0
143,4,-298.0
144,6,-95.0
145,2,-99.0
146,4,-399.0
147,6,-196.0
148,12,10.0
149,2,-300.0
150,26,222.0
151,2,-400.0
152,2,-300.0
153,8,-597.0
154,4,-399.0
155,2,-500.0
156,2,-400.0
157,16,-87.0
158,2,-400.0
159,2,-300.0
160,2,-400.0
161,2,-300.0
162,2,-300.0
163,2,-99.0
164,2,-99.0
165,2,-300.0
166,2,-99.0
167,2,-300.0
168,4,-299.0
169,6,-196.0
170,6,-398.0
171,10,8.0
172,2,-199.0
173,2,-299.0
174,6,-95.0
175,6,-397.0
176,2,-99.0
177,4,-98.0
178,2,-300.0
179,2,-300.0
180,2,-300.0
181,2,-199.0
182,2,-199.0
183,4,-298.0
184,2,-99.0
185,4,-97.0
186,4,-98.0
187,2,-99.0
188,2,-99.0
189,2,-500.0
190,2,-199.0
191,2,-199.0
192,6,-96.0
193,4,-198.0
194,4,3.0
195,2,-199.0
196,10,109.0
197,4,-198.0
198,2,-199.0
199,4,-197.0
200,2,-199.0
201,2,-400.0
202,6,-398.0
203,2,-199.0
204,2,-300.0
205,4,-197.0
206,6,-397.0
207,2,-300.0
208,2,-99.0
209,2,-300.0
210,2,-300.0
211,2,-500.0
212,2,-199.0
213,4,-197.0
214,2,-99.0
215,2,-300.0
216,2,-500.0
217,6,-297.0
218,2,-500.0
219,4,-399.0
220,8,-395.0
221,4,-299.0
222,2,-99.0
223,2,-99.0
224,6,-97.0
225,6,-96.0
226,2,-400.0
227,30,127.0
228,2,-300.0
229,22,-82.0
230,28,25.0
231,2,-400.0
232,2,-199.0
233,2,-400.0
234,2,-199.0
235,2,-300.0
236,2,-99.0
237,2,-199.0
238,2,-99.0
239,4,-198.0
240,2,-99.0
241,8,-195.0
242,2,-400.0
243,2,-199.0
244,2,-500.0
245,2,-400.0
246,4,3.0
247,2,-400.0
248,10,107.0
249,2,-199.0
250,4,-299.0
251,6,-95.0
252,2,-99.0
253,4,-98.0
254,2,-99.0
255,2,-299.0
256,2,-99.0
257,4,-298.0
258,6,-597.0
259,4,-198.0
260,2,-99.0
261,4,-197.0
262,2,-299.0
263,2,-299.0
264,2,-300.0
265,10,7.0
266,2,-99.0
267,6,-96.0
268,20,-587.0
269,2,-99.0
270,6,-195.0
