episode,actions,rewards
0,1,-100000.0
1,1,-100000.0
2,16,-100894.0
3,1,-100000.0
4,28,-100247.8159748261
5,22,-100076.14196547554
6,50,-101342.11275737836
7,1,-100000.0
8,2,-99999.0
9,1,-100000.0
10,5,-100097.0
11,19,-100184.0
12,2,-100100.0
13,1,-100000.0
14,1,-100000.0
15,2,-100100.0
16,4,-100098.0
17,18,-100185.0
18,10,-100092.0
19,1,-100000.0
20,2,-99999.0
21,6,-100298.0
22,9,-100194.0
23,1,-100000.0
24,2,-100100.0
25,1,-100000.0
26,8,-100296.0
27,1,-100000.0
28,18,-100239.64239198822
29,2,-100100.0
30,4,-100098.0
31,1,-100000.0
32,1,-100000.0
33,8,-100397.0
34,1,-100000.0
35,2,-100100.0
36,13,-100089.0
37,1,-100000.0
38,5,-100198.0
39,2,-100100.0
40,23,-100584.0
41,2,-99999.0
42,5,-100198.0
43,2,-99999.0
44,2,-99999.0
45,13,-100291.0
46,30,-100678.0
47,1,-100000.0
48,2,-99999.0
49,1,-100000.0
50,2,-100100.0
51,1,-100000.0
52,60,-100071.98034750023
53,1,-100000.0
54,2,-99999.0
55,3,-100099.0
56,7,-99994.0
57,1,-100000.0
58,1,-100000.0
59,3,-99998.0
60,3,-99998.0
61,1,-100000.0
62,2,-100100.0
63,8,-100195.0
64,5,-100097.0
65,31,-100576.0
66,2,-99999.0
67,6,-100096.0
68,1,-100000.0
69,1,-100000.0
70,22,-100383.0
71,3,-99998.0
72,55,-100118.54093805
73,13,-100089.0
74,7,-99994.0
75,1,-100000.0
76,7,-100095.0
77,4,-99997.0
78,1,-100000.0
79,4,-100098.0
80,6,-100096.0
81,22,-100484.0
82,1,-100000.0
83,3,-99998.0
84,6,-100197.0
85,5,-100198.0
86,1,-100000.0
87,19,-100146.43612492773
88,15,-100390.0
89,1,-100000.0
90,1,-100000.0
91,4,-100098.0
92,1,-100000.0
93,1,-100000.0
94,1,-100000.0
95,2,-100100.0
96,3,-99998.0
97,11,-100192.0
98,3,-100200.0
99,5,-100198.0
100,1,-100000.0
101,1,-100000.0
102,9,-100295.0
103,2,-99999.0
104,1,-100000.0
105,1,-100000.0
106,3,-100099.0
107,1,-100000.0
108,15,-100188.0
109,1,-100000.0
110,8,-100195.0
111,4,-100199.0
112,1,-100000.0
113,38,-98968.67696150672
114,1,-100000.0
115,12,-100292.0
116,3,-100099.0
117,1,-100000.0
118,36,165771.93424250692
119,5,-100198.0
120,2,-99999.0
121,2,-99999.0
122,1,-100000.0
123,22,-99744.68035633773
124,13,-100291.0
125,24,177259.16942461403
