episode,actions,rewards
0,9,-100794.0
1,1,-100000.0
2,23,-101385.0
3,1,-100000.0
4,1,-100000.0
5,1,-100000.0
6,9,-100795.0
7,2,-100099.0
8,2,-100099.0
9,5,-100398.0
10,3,-100199.0
11,2,-100100.0
12,3,-100199.0
13,1,-100000.0
14,1,-100000.0
15,8,-100695.0
16,1,-100000.0
17,1,-100000.0
18,1,-100000.0
19,1,-100000.0
20,1,-100000.0
21,1,-100000.0
22,1,-100000.0
23,10,-100893.0
24,4,-100299.0
25,23,-101584.0
26,88,-100943.11845275825
27,1,-100000.0
28,1,-100000.0
29,3,-100198.0
30,1,-100000.0
31,1,-100000.0
32,2,-100099.0
33,1,-100000.0
34,2,-100099.0
35,3,-100198.0
36,5,-100398.0
37,1,-100000.0
38,2,-100099.0
39,1,-100000.0
40,18,-100619.08096357167
41,10,-100894.0
42,6,-100495.0
43,2,-100100.0
44,1,-100000.0
45,1,-100000.0
46,1,-100000.0
47,56,-99027.35131411657
48,1,-100000.0
49,2,-100100.0
50,1,-100000.0
51,4,-100298.0
52,28,-101280.0
53,2,-100100.0
54,1,-100000.0
55,1,-100000.0
56,1,-100000.0
57,3,-100199.0
58,2,-100100.0
59,2,-100099.0
60,1,-100000.0
61,1,-100000.0
62,1,-100000.0
63,14,-100778.11347819361
64,6,-100496.0
65,2,-100100.0
66,3,-100198.0
67,2,-100100.0
68,8,-100694.0
69,21,-101184.0
70,3,-100199.0
71,2,-100100.0
72,3,-100199.0
73,1,-100000.0
74,1,-100000.0
75,3,-100200.0
76,1,-100000.0
77,2,-100099.0
78,1,-100000.0
79,1,-100000.0
80,1,-100000.0
81,1,-100000.0
82,1,-100000.0
83,3,-100198.0
84,1,-100000.0
85,1,-100000.0
86,1,-100000.0
87,1,-100000.0
88,1,-100000.0
89,1,-100000.0
90,1,-100000.0
91,10,-100894.0
92,1,-100000.0
93,15,-100987.0
94,1,-100000.0
95,2,-100099.0
96,2,-100099.0
97,1,-100000.0
98,55,-101026.01118231817
99,36,-101674.0
100,1,-100000.0
101,4,-100297.0
102,3,-100198.0
103,1,-100000.0
104,6,-100496.0
105,2,-100100.0
106,1,-100000.0
107,1,-100000.0
108,20,-100634.64239198822
109,5,-100397.0
110,1,-100000.0
111,1,-100000.0
112,1,-100000.0
113,2,-100100.0
114,6,-100495.0
115,1,-100000.0
116,1,-100000.0
117,3,-100199.0
118,4,-100297.0
119,1,-100000.0
120,1,-100000.0
121,5,-100396.0
122,1,-100000.0
123,1,-100000.0
124,3,-100198.0
125,15,185613.0
126,6,-100496.0
127,1,-100000.0
128,1,-100000.0
129,3,-100199.0
130,1,-100000.0
131,2,-100099.0
132,1,-100000.0
133,1,-100000.0
134,4,-100297.0
135,1,-100000.0
136,1,-100000.0
137,3,-100198.0
138,1,-100000.0
139,1,-100000.0
140,1,-100000.0
141,1,-100000.0
142,1,-100000.0
143,1,-100000.0
144,2,-100100.0
145,1,-100000.0
146,102,-300.0000000000002
147,1,-100000.0
148,2,-100099.0
149,2,-100099.0
150,1,-100000.0
151,2,-100099.0
152,1,-100000.0
153,7,-100594.0
154,1,-100000.0
155,1,-100000.0
156,49,-101148.8016018176
157,8,-100694.0
158,3,-100199.0
159,2,-100099.0
160,2,-100100.0
161,1,-100000.0
162,102,-100.0
163,1,-100000.0
164,6,-100496.0
165,4,-100298.0
166,11,-100992.0
167,1,-100000.0
168,1,-100000.0
169,7,-100596.0
170,3,-100199.0
171,1,-100000.0
172,34,-100347.86202515636
173,4,-100298.0
174,1,-100000.0
175,2,-100100.0
176,13,-101190.0
177,1,-100000.0
178,1,-100000.0
179,1,-100000.0
180,1,-100000.0
181,1,-100000.0
182,2,-100100.0
183,1,-100000.0
184,1,-100000.0
185,2,-100099.0
186,2,-100099.0
187,6,-100498.0
188,1,-100000.0
189,3,-100199.0
190,5,-100398.0
191,1,-100000.0
192,38,-99987.73956356097
193,2,-100100.0
194,87,-99430.32336565362
195,10,-100896.0
196,2,-100099.0
197,1,-100000.0
198,17,-101187.0
199,2,-100099.0
200,1,-100000.0
201,2,-100099.0
202,5,-100396.0
203,1,-100000.0
204,1,-100000.0
205,40,-99684.41337512547
206,1,-100000.0
207,9,-100795.0
208,1,-100000.0
209,2,-100099.0
210,1,-100000.0
211,1,-100000.0
212,47,-102365.0
213,1,-100000.0
214,1,-100000.0
215,5,-100396.0
216,1,-100000.0
217,5,-100398.0
218,3,-100200.0
219,1,-100000.0
220,1,-100000.0
221,27,-101152.8159748261
222,2,-100100.0
223,1,-100000.0
224,17,-101191.0
225,3,-100199.0
226,1,-100000.0
227,1,-100000.0
228,1,-100000.0
229,2,-100100.0
230,1,-100000.0
231,1,-100000.0
232,3,-100200.0
233,1,-100000.0
234,16,-101087.0
235,3,-100198.0
236,44,-101427.3788550641
237,3,-100198.0
238,45,-101269.10299378155
239,1,-100000.0
240,1,-100000.0
241,3,-100200.0
242,3,-100198.0
243,2,-100100.0
244,1,-100000.0
245,1,-100000.0
246,4,-100297.0
247,1,-100000.0
248,2,-100100.0
249,1,-100000.0
250,5,-100398.0
251,1,-100000.0
252,3,-100198.0
253,1,-100000.0
254,1,-100000.0
255,20,-101083.0
256,37,-101774.0
257,1,-100000.0
258,1,-100000.0
259,3,-100199.0
260,5,-100398.0
261,1,-100000.0
262,1,-100000.0
263,3,-100199.0
264,2,-100100.0
265,1,-100000.0
266,1,-100000.0
267,1,-100000.0
268,1,-100000.0
269,2,-100099.0
270,1,-100000.0
271,3,-100198.0
272,7,-100597.0
273,26,-101283.0
274,1,-100000.0
275,56,-99119.25435026501
276,1,-100000.0
277,10,-100894.0
278,1,-100000.0
279,6,-100496.0
280,1,-100000.0
281,9,-100794.0
282,4,-100297.0
283,2,-100099.0
284,56,-100115.46250587421
285,11,-100993.0
286,1,-100000.0
287,5,-100396.0
288,74,-98900.09470293291
289,1,-100000.0
290,10,-100892.0
291,21,-101385.0
292,9,-100794.0
293,1,-100000.0
294,2,-100100.0
295,1,-100000.0
296,2,-100100.0
297,2,-100099.0
298,1,-100000.0
299,2,-100099.0
300,5,-100396.0
301,1,-100000.0
302,2,-100099.0
303,1,-100000.0
304,1,-100000.0
305,3,-100198.0
306,2,-100099.0
307,3,-100198.0
308,13,187612.0
309,2,-100099.0
310,4,-100298.0
311,3,-100199.0
312,16,-101086.0
313,1,-100000.0
314,7,-100594.0
315,1,-100000.0
316,1,-100000.0
317,13,-100990.0
318,3,-100198.0
319,1,-100000.0
320,7,-100595.0
321,1,-100000.0
322,11,-100994.0
323,8,-100695.0
324,3,-100200.0
325,2,-100100.0
326,24,-100880.0
327,1,-100000.0
328,1,-100000.0
329,1,-100000.0
330,6,-100495.0
331,1,-100000.0
332,1,-100000.0
333,35,-100542.17366653279
334,5,-100397.0
335,3,-100199.0
336,7,-100595.0
337,3,-100200.0
338,4,-100297.0
339,1,-100000.0
340,1,-100000.0
341,2,-100100.0
342,3,-100198.0
343,74,-99910.70018493629
344,2,-100100.0
345,2,-100099.0
346,8,-100697.0
347,1,-100000.0
348,1,-100000.0
349,3,-100198.0
350,1,-100000.0
351,2,-100100.0
352,1,-100000.0
353,3,-100198.0
354,1,-100000.0
355,42,-99864.66061020663
356,2,-100100.0
357,1,-100000.0
358,1,-100000.0
359,2,-100099.0
360,5,-100396.0
361,9,-100794.0
362,17,-100988.0
363,1,-100000.0
364,2,-100100.0
365,1,-100000.0
366,23,-101176.18733038731
367,9,-100793.0
368,1,-100000.0
369,1,-100000.0
370,1,-100000.0
371,24,-101257.81574052708
372,3,-100200.0
373,2,-100099.0
374,1,-100000.0
375,1,-100000.0
376,38,-101469.0
377,1,-100000.0
378,1,-100000.0
379,1,-100000.0
380,19,-100769.57973682384
381,1,-100000.0
382,8,-100694.0
383,4,-100297.0
384,10,-100893.0
385,2,-100100.0
386,33,-99576.94713053058
387,4,-100297.0
388,1,-100000.0
389,17,-100786.0
390,1,-100000.0
391,2,-100100.0
392,1,-100000.0
393,1,-100000.0
394,7,-100597.0
395,1,-100000.0
396,1,-100000.0
397,1,-100000.0
398,1,-100000.0
399,3,-100198.0
400,3,-100198.0
401,1,-100000.0
402,1,-100000.0
403,1,-100000.0
404,5,-100400.0
405,1,-100000.0
406,35,-100110.38327832006
407,11,-100993.0
408,4,-100298.0
409,9,-100795.0
410,1,-100000.0
411,1,-100000.0
412,2,-100100.0
413,1,-100000.0
414,1,-100000.0
415,5,-100399.0
416,2,-100099.0
417,6,-100496.0
418,2,-100100.0
419,1,-100000.0
420,3,-100198.0
421,3,-100198.0
422,5,-100399.0
423,4,-100297.0
424,2,-100100.0
425,1,-100000.0
426,2,-100100.0
427,1,-100000.0
428,1,-100000.0
429,3,-100198.0
430,102,-500.0
431,6,-100495.0
432,12,-101093.0
433,1,-100000.0
434,1,-100000.0
435,11,-100992.0
436,1,-100000.0
437,1,-100000.0
438,6,-100495.0
439,4,-100299.0
440,2,-100099.0
441,20,-101285.0
442,2,-100100.0
443,4,-100297.0
444,1,-100000.0
445,9,-100795.0
446,45,-100367.04149169681
447,1,-100000.0
448,1,-100000.0
449,56,-101620.97823085806
450,1,-100000.0
451,2,-100100.0
452,1,-100000.0
453,1,-100000.0
454,3,-100198.0
455,59,-101750.2852314488
456,2,-100099.0
457,1,-100000.0
458,4,-100298.0
459,1,-100000.0
460,7,-100596.0
461,1,-100000.0
462,1,-100000.0
463,1,-100000.0
464,7,-100597.0
465,1,-100000.0
466,13,-101194.0
467,1,-100000.0
468,10,-100893.0
469,7,-100596.0
470,4,-100299.0
471,11,-100992.0
472,3,-100198.0
473,1,-100000.0
474,11,-100793.0
475,3,-100198.0
476,4,-100298.0
477,1,-100000.0
478,7,-100595.0
479,1,-100000.0
480,4,-100297.0
481,10,-100892.0
482,20,-101284.0
483,1,-100000.0
484,3,-100198.0
485,9,-100793.0
486,1,-100000.0
487,1,-100000.0
488,1,-100000.0
489,2,-100100.0
490,2,-100100.0
491,3,-100198.0
492,2,-100100.0
493,5,-100396.0
494,6,-100499.0
495,1,-100000.0
496,1,-100000.0
497,1,-100000.0
498,80,-100997.97554977682
499,2,-100100.0
500,2,-100100.0
501,5,-100397.0
502,1,-100000.0
503,2,-100100.0
504,3,-100200.0
505,58,-100373.16564377549
506,3,-100199.0
507,21,-100923.29256290973
508,2,-100100.0
509,6,-100495.0
510,97,-100014.66706163145
511,5,-100397.0
512,6,-100495.0
513,1,-100000.0
514,1,-100000.0
515,1,-100000.0
516,2,-100100.0
517,1,-100000.0
518,39,-101528.68610100463
519,1,-100000.0
520,1,-100000.0
521,3,-100198.0
522,1,-100000.0
523,2,-100099.0
524,3,-100198.0
525,14,-101088.0
526,1,-100000.0
527,1,-100000.0
528,2,-100100.0
529,1,-100000.0
530,4,-100299.0
531,19,-101189.0
