,episode,actions,rewards
0,0,2,-1100.0
1,1,1,-1000.0
2,2,22,-1318.0
3,3,1,-1000.0
4,4,1,-1000.0
5,5,5,-1103.0
6,6,1,-1000.0
7,7,1,-1000.0
8,8,1,-1000.0
9,9,19,-1513.0
10,10,306,-5463.0
11,11,13,-1210.0
12,12,3,-1002.0
13,13,1,-1000.0
14,14,1,-1000.0
15,15,2,-1001.0
16,16,30,-1326.0
17,17,318,-7059.0
18,18,2,-1001.0
19,19,1,-1000.0
20,20,1,-1000.0
21,21,2,-1100.0
22,22,4,-1003.0
23,23,1,-1000.0
24,24,1,-1000.0
25,25,18,-1314.0
26,26,10,-1207.0
27,27,4,-1102.0
28,28,2,-1001.0
29,29,47,-1640.0
30,30,3,-1101.0
31,31,23,-1517.0
32,32,3,-1002.0
33,33,3,-1101.0
34,34,39,-1533.0
35,35,1,-1000.0
36,36,1,-1000.0
37,37,6,-1005.0
38,38,2,-1001.0
39,39,5,-1004.0
40,40,2,-1001.0
41,41,6,-1104.0
42,42,5,-1202.0
43,43,1,-1000.0
44,44,1,-1000.0
45,45,4,-1102.0
46,46,1,-1000.0
47,47,2,-1001.0
48,48,1,-1000.0
49,49,7,-1105.0
50,50,3,-1002.0
51,51,8,-1205.0
52,52,1,-1000.0
53,53,3,-1002.0
54,54,1,-1000.0
55,55,10,-1306.0
56,56,1,-1000.0
57,57,2,-1100.0
58,58,1,-1000.0
59,59,1,-1000.0
60,60,1,-1000.0
61,61,1,-1000.0
62,62,5,-1103.0
63,63,1,-1000.0
64,64,3,-1002.0
65,65,1,-1000.0
66,66,37,-1531.0
67,67,2,-1001.0
68,68,1,-1000.0
69,69,2,-1100.0
70,70,151,-3625.0
71,71,2,-1001.0
72,72,11,-1109.0
73,73,4,-1201.0
74,74,50,-2039.0
75,75,1,-1000.0
76,76,26,-1718.0
77,77,6,-1005.0
78,78,1,-1000.0
79,79,1,-1000.0
80,80,2,-1001.0
81,81,1,-1000.0
82,82,2,-1001.0
83,83,22,-1318.0
84,84,1,-1000.0
85,85,7,-1204.0
86,86,6,-1005.0
87,87,3,-1002.0
88,88,1,-1000.0
89,89,1,-1000.0
90,90,10,-1207.0
91,91,3,-1002.0
92,92,2,-1100.0
93,93,2,-1100.0
94,94,1,-1000.0
95,95,6,-1104.0
96,96,1,-1000.0
97,97,3,-1002.0
98,98,1,-1000.0
99,99,5,-1004.0
100,100,11,-1208.0
101,101,22,-1615.0
102,102,3,-1101.0
103,103,2,-1001.0
104,104,4,-1003.0
105,105,1,-1000.0
106,106,9,-1206.0
107,107,1,-1000.0
108,108,1,-1000.0
109,109,10,-1207.0
110,110,1,-1000.0
111,111,1,-1000.0
112,112,71,-1763.0
113,113,3,-1101.0
114,114,2,-1100.0
115,115,2,-1001.0
116,116,16,-1510.0
117,117,3,-1200.0
118,118,1,-1000.0
119,119,3,-1002.0
120,120,1,-1000.0
121,121,3,-1101.0
122,122,1,-1000.0
123,123,6,-1203.0
124,124,1,-1000.0
125,125,1,-1000.0
126,126,1,-1000.0
127,127,5,-1004.0
128,128,26,-1322.0
129,129,1,-1000.0
130,130,6,-1104.0
131,131,12,-1110.0
132,132,9,-1206.0
133,133,12,-1605.0
134,134,1,-1000.0
135,135,7,-1006.0
136,136,11,-1307.0
137,137,2,-1001.0
138,138,5,-1202.0
139,139,6,-1104.0
140,140,3,-1101.0
141,141,5,-1103.0
142,142,36,-1233.0
143,143,1,-1000.0
144,144,2,-1001.0
145,145,2,-1001.0
146,146,3,-1200.0
147,147,33,-1527.0
148,148,1,-1000.0
149,149,21,-1218.0
150,150,28,-1423.0
151,151,7,-1105.0
152,152,4,-1003.0
153,153,1,-1000.0
154,154,3,-1101.0
155,155,2,-1001.0
156,156,3,-1200.0
157,157,1,-1000.0
158,158,1,-1000.0
159,159,1,-1000.0
160,160,4,-1102.0
161,161,5,-1103.0
162,162,3,-1002.0
163,163,1,-1000.0
164,164,1,-1000.0
165,165,1,-1000.0
166,166,4,-1003.0
167,167,2,-1001.0
168,168,2,-1001.0
169,169,2,-1100.0
170,170,5,-1004.0
171,171,2,-1001.0
172,172,2,-1001.0
173,173,1,-1000.0
174,174,7,-1303.0
175,175,1,-1000.0
176,176,1,-1000.0
177,177,8,-1106.0
178,178,9,-1206.0
179,179,7,-1105.0
180,180,13,-1309.0
181,181,2,-1001.0
182,182,1,-1000.0
183,183,2,-1001.0
184,184,2,-1001.0
185,185,2,-1001.0
186,186,2,-1001.0
187,187,2,-1001.0
188,188,1,-1000.0
189,189,1,-1000.0
190,190,4,-1003.0
191,191,10,-1207.0
192,192,1,-1000.0
193,193,2,-1100.0
194,194,4,-1003.0
195,195,1,-1000.0
196,196,5,-1004.0
197,197,4,-1003.0
198,198,5,-1103.0
199,199,6,-1005.0
200,200,3,-1002.0
201,201,23,-1220.0
202,202,1,-1000.0
203,203,1,-1000.0
204,204,10,-1009.0
205,205,1,-1000.0
206,206,1,-1000.0
207,207,1,-1000.0
208,208,2,-1001.0
209,209,1,-1000.0
210,210,3,-1101.0
211,211,8,-1403.0
212,212,3,-1101.0
213,213,4,-1102.0
214,214,1,-1000.0
215,215,5,-1103.0
216,216,1,-1000.0
217,217,1,-1000.0
218,218,7,-1204.0
219,219,3,-1101.0
220,220,1,-1000.0
221,221,4,-1102.0
222,222,2,-1001.0
223,223,2,-1100.0
224,224,2,-1001.0
225,225,12,-1308.0
226,226,1,-1000.0
227,227,6,-1104.0
228,228,2,-1001.0
229,229,3,-1200.0
230,230,2,-1100.0
231,231,2,-1001.0
232,232,1,-1000.0
233,233,3,-1200.0
234,234,2,-1100.0
235,235,5,-1400.0
236,236,5,-1202.0
237,237,3,-1101.0
238,238,1,-1000.0
239,239,6,-1203.0
240,240,3,-1101.0
241,241,2,-1001.0
242,242,2,-1100.0
243,243,1,-1000.0
244,244,4,-1201.0
245,245,1,-1000.0
246,246,19,-1315.0
247,247,1,-1000.0
248,248,10,-1108.0
249,249,1,-1000.0
250,250,2,-1001.0
251,251,1,-1000.0
252,252,32,-1526.0
253,253,115,-2401.0
254,254,9,-1008.0
255,255,2,-1001.0
256,256,12,-1308.0
257,257,4,-1003.0
258,258,1,-1000.0
259,259,1,-1000.0
260,260,5,-1103.0
261,261,6,-1203.0
262,262,8,-1007.0
263,263,2,-1001.0
264,264,1,-1000.0
265,265,4,-1102.0
266,266,3,-1200.0
267,267,3,-1101.0
268,268,16,-1114.0
269,269,48,-2136.0
270,270,14,-1310.0
271,271,7,-1204.0
272,272,3,-1101.0
273,273,1,-1000.0
274,274,6,-1203.0
275,275,2,-1001.0
276,276,7,-1105.0
277,277,1,-1000.0
278,278,1,-1000.0
279,279,6,-1005.0
280,280,6,-1104.0
281,281,2,-1100.0
282,282,1,-1000.0
283,283,5,-1103.0
284,284,4,-1003.0
285,285,6,-1005.0
286,286,4,-1102.0
287,287,2,-1100.0
288,288,12,-1407.0
289,289,1,-1000.0
290,290,1,-1000.0
291,291,1,-1000.0
292,292,1,-1000.0
293,293,4,-1102.0
294,294,2,-1001.0
295,295,1,-1000.0
296,296,5,-1103.0
297,297,1,-1000.0
298,298,10,-1108.0
299,299,7,-1204.0
300,300,1,-1000.0
301,301,1,-1000.0
302,302,1,-1000.0
303,303,21,-1713.0
304,304,1,-1000.0
