,episode,actions,rewards
0,0,16,-100006.64732800156
1,1,20,-99999.71460209921
2,2,47,-100017.90276910903
3,3,39,-100016.5864605126
4,4,16,-100006.83201912533
5,5,70,-100048.70765435477
6,6,40,-100014.50631249948
7,7,36,-100020.82388346894
8,8,19,-100006.43180322235
9,9,21,-100017.76671516107
10,10,25,-100011.83552977676
11,11,10,-100002.53943074848
12,12,46,-100030.2258159926
13,13,13,-100012.0
14,14,25,-100022.28130541544
15,15,22,-100021.0
16,16,28,-100015.90335569603
17,17,14,-100010.52348997716
18,18,16,-100004.61588859836
19,19,16,-100004.9074715725
20,20,38,-100018.5574411847
21,21,23,-100017.00521352483
22,22,63,-100032.66800109655
23,23,7,-100003.36820406251
24,24,101,-100071.1638934063
25,25,76,-100051.88313197231
26,26,85,-100057.988407141
27,27,41,-100028.43787344804
28,28,24,-100012.26961472562
29,29,22,-100018.92783366868
30,30,40,-100027.6517021145
31,31,20,-100016.36820406251
32,32,14,-100005.91475289055
33,33,44,-100027.65818520091
34,34,29,-100014.28315548682
35,35,21,-100012.637314749
36,36,42,-100024.35592175531
37,37,64,-100033.8625368789
38,38,6,-100005.0
39,39,42,-100025.11046960446
40,40,40,-100026.55264109961
41,41,22,-100016.10617345668
42,42,45,-100024.1724514218
43,43,22,-100013.40273995452
44,44,26,-100009.98083099771
45,45,40,-100025.50511915042
46,46,11,-100004.60050062634
47,47,13,-100008.79730588161
48,48,28,-100018.70306517824
49,49,77,-100057.42265068415
50,50,23,-100014.13480006653
51,51,29,-100016.65764029245
52,52,16,-100010.13491922358
53,53,7,-100006.0
54,54,16,-100007.8620529056
55,55,12,-100006.67288963313
56,56,27,-100002.78432889309
57,57,102,-1063.411561795036
58,58,10,-100007.42323408589
59,59,26,-100018.96737645046
60,60,102,-1073.53288664637
61,61,70,-100053.22866434175
62,62,13,-100009.92783366868
63,63,86,-100064.86041987938
64,64,27,-100016.6993473031
65,65,27,-100008.23396453021
66,66,25,-100011.41691352935
67,67,28,-100014.75615772132
68,68,18,-100011.424597095
69,69,9,-99997.64748058066
70,70,34,-100023.31245287026
71,71,20,-100011.50717326622
72,72,21,-17.716383851995374
73,73,61,-100046.75223569259
74,74,22,-100011.11104904079
75,75,44,-100021.4550495614
76,76,28,-100021.38950641385
77,77,8,-100004.71638385199
78,78,26,-100014.58509653447
79,79,37,-19.045306144835934
80,80,48,-100041.49474215244
81,81,24,-100018.13491922358
82,82,9,-100008.0
83,83,59,-100026.42224700232
84,84,39,-100022.14139031881
85,85,32,-100022.12731653375
86,86,15,-100006.91102838694
87,87,30,-100019.64252524276
88,88,19,-100005.77145537158
89,89,29,-100021.1865463189
90,90,26,-100012.22833734506
91,91,16,-100009.5339057708
92,92,25,-100016.46809224402
93,93,16,-100012.52348997716
94,94,29,-100021.89806495617
95,95,28,-100018.26714867764
96,96,38,-100016.18109117971
97,97,24,-100015.25989810219
98,98,22,-13.763363806315844
99,99,34,-100021.70646606947
100,100,14,-100009.6138499475
101,101,9,-100005.52348997716
102,102,10,-100006.71638385199
103,103,10,-100005.92558080096
104,104,32,-100014.79255535327
105,105,28,-100023.01220640648
106,106,10,-100004.0845879145
107,107,73,-100055.37058138587
108,108,102,-1076.6698017584372
109,109,22,-100014.59461176323
110,110,46,-100033.77979741605
111,111,31,-100011.8155617291
112,112,25,-100004.39257781858
113,113,24,-100020.11056745458
114,114,49,-100029.60595199955
115,115,88,-100059.49278612323
116,116,67,-100041.46868752508
117,117,18,-100005.887940429
118,118,37,-100022.35240408099
119,119,48,-100034.42102705018
120,120,19,-100008.96619802613
121,121,21,-100014.3401402663
122,122,16,-100007.35834850496
123,123,17,-100016.0
124,124,6,-100005.0
125,125,28,-100018.76294018594
126,126,15,-100012.01026573352
127,127,17,-100012.92558080096
128,128,46,-100033.80385985847
129,129,37,-100015.94445740854
130,130,44,-100030.30664674206
131,131,29,-100017.43591857034
132,132,23,-100019.76671516107
133,133,22,-100021.0
134,134,67,-100032.96924790679
135,135,42,-100028.4021299499
136,136,25,-100006.37448696056
137,137,15,-100014.0
138,138,14,-100010.71638385199
139,139,47,-100028.94495285516
140,140,63,-100039.51348408649
141,141,23,-100011.39311706267
142,142,14,-100006.19500521536
143,143,41,-100030.12113691533
144,144,100,-100044.7559806579
145,145,26,-100006.34562216107
146,146,30,-17.972198452466436
147,147,23,-100019.52348997716
148,148,36,-100022.13118800662
149,149,28,-100014.95310010311
150,150,45,-100033.54553804474
151,151,14,-100007.04856868899
152,152,29,-100013.9574734804
153,153,19,-100001.86205865498
154,154,28,-100019.24422222382
155,155,66,-100041.38777125151
156,156,26,-100013.24186445885
157,157,6,-100005.0
158,158,63,-100038.21911088648
159,159,15,-100011.30160920697
160,160,7,-100006.0
161,161,50,-100032.8047276151
162,162,54,-100038.48169161672
163,163,79,-100051.06906515486
164,164,27,-100011.07014187687
165,165,20,-100010.70104927907
166,166,80,-100043.38128638073
167,167,43,-29.55072682913726
168,168,63,-100043.47930868546
169,169,8,-100001.4995960009
170,170,30,-100022.24734374262
171,171,39,-100022.06036372726
172,172,30,-100020.1311899873
173,173,53,-100045.01662982337
174,174,12,-100008.52348997716
175,175,19,-100018.0
176,176,24,-100015.95315442639
177,177,26,-100020.9380994022
178,178,9,-100002.08964494125
179,179,24,-100017.53459887413
180,180,81,-100050.28707327026
181,181,11,-100001.30843769788
182,182,27,-100014.73814385227
183,183,6,-100002.26729943707
184,184,26,-100011.11384059861
185,185,42,-100011.21328813449
186,186,7,-100003.71638385199
187,187,13,-100004.50717326622
188,188,15,-100011.63700946231
189,189,31,-100018.67908935771
190,190,83,-100051.22119359585
191,191,32,-100018.76207745298
192,192,10,-100000.76689543798
193,193,7,-100006.0
194,194,102,-1074.186283863695
195,195,27,-100006.15386000935
196,196,38,-100026.25458671371
197,197,36,-100021.11887305815
198,198,62,-100039.62133925337
199,199,47,-100025.77387882564
200,200,11,-100010.0
201,201,12,-100011.0
202,202,102,-1064.8728579931446
203,203,41,-100016.98562153654
204,204,28,-100013.29987567157
205,205,11,-100004.63550349958
206,206,21,-100016.99366209362
207,207,39,-100024.50955965318
208,208,73,-100054.03794405723
209,209,20,-100017.28130541544
210,210,22,-100007.62548518342
211,211,19,-100009.111040392
212,212,77,-100055.74168826202
213,213,21,-100012.33283830297
214,214,28,-100016.111585273
215,215,29,-15.992742794448038
216,216,37,-100025.98394729244
217,217,57,-100034.74156153167
218,218,30,-100020.10975851848
219,219,58,-100042.83003771785
